"coast","type","species","commonName","juvMeanM2","juvStDevM2","juvMeanHa","juvMeanAcre","juvStDevAcre","rYears","meanNumIndR","indMeanAcreAgeR","meanProductionGM2","stDevProductionGM2","meanProductionKgHa","meanProductionKgAcre","stDevProductionKgAcre","abundanceWeight"
"Atlantic","crustacean","azteceus","Brown Shrimp","0.034","0.008","340","138","34","0.50","null","NA","0.2","0.1","2","1","0.4","1"
"Atlantic","fish","Mycteroptera microlepis","Gag","0.014","0.009","140","57","36","4.00","0.002","10","23.3","15","233","94","61","1"
"Atlantic","fish","Lutjanus griseus","Gray Snapper","0.01","0.007","100","40","28","5.00","0.002","6","5.6","3.9","56","23","16","1"
"Atlantic","fish","Gobiosoma bosc","Naked Goby","24.863","6.877","248630","100619","27830","null","null","NA","28","7.7","280","113","31","1"
"Atlantic","fish","Orthopristis chrysoptera","Pigfish","0.026","0.027","260","105","109","1.00","0.019","75","3.5","3.6","35","14","15","1"
"Atlantic","fish","Lagodon rhomboides","Pinfish","0.009","0.224","90","36","906","null","null","NA","0.7","18.3","7","3","74","1"
"Atlantic","fish","Archosargus probatocephalus","Sheepshead","0.072","0.048","720","291","194","2.00","0.050","202","62.18","41.4","621.8","241","161","1"
"Atlantic","fish","Gobiesox strumosus","Skilletfish","6.837","2.184","68370","27669","8840","null","null","NA","22.2","7.1","222","90","29","1"
"Atlantic","fish","Paralichthys lethostigma","Southern Flounder","0.001","0.008","10","5","32","1.00","0.001","3","0.6","3.7","6","2","15","1"
"Atlantic","fish","Chasmodes bosquianus","Striped Blenny","5.824","1.431","58240","23568","5791","null","null","NA","19.4","4.7","194","79","19","1"
"Atlantic","fish","Fundulus majalis","Striped Killifish","0.015","0.019","150","62","77","null","null","NA","0.06","0.07","0.6","0.4","0.4","1"
"Atlantic","fish","Opsanus tau","Toadfish","1.187","0.4","11870","4809","1623","null","null","NA","117.63","28.054","1176.3","476","160","1"
"Gulf of Mexico","crustacean","Callinectes sapidus","Blue Crab","1.317","0.827","13170","29997","27241","0.75","3.227","13058","143.86","64.169","1438.6","20","18","1"
"Gulf of Mexico","crustacean","Farfantepenaeus aztecus","Brown Shrimp","1.036","0.627","10360","4195","2539","0.50","0.007","27","7","4.2","70","28","17","1"
"Gulf of Mexico","fish","Ctenogobius boleosoma","Darter Goby","0.234","0.169","2340","946","682","null","null","NA","0.5","0.3","5","2","1","1"
"Gulf of Mexico","fish","Hypsoblennius hentz","Feather Blenny","0.074","0.02","740","298","81","null","null","NA","0.2","0.1","2","1","0.4","1"
"Gulf of Mexico","fish","Hypsoblennius ionthas","Freckled Blenny","0.392","0.269","3920","1586","1087","null","null","NA","1.3","0.9","13","5","4","1"
"Gulf of Mexico","fish","Bathygobius soporator","Frillfin Goby","0.024","0.009","240","97","36","null","null","NA","2","0.7","20","8","3","1"
"Gulf of Mexico","fish","Gobiosoma bosc","Naked Goby","1.92","0.488","19200","7770","1973","null","null","NA","2.2","0.6","22","9","2","1"
"Gulf of Mexico","fish","Orthopristis chrysoptera","Pigfish","0.044","0.018","440","177","72","1.00","0.031","127","5.8","2.4","58","23","10","1"
"Gulf of Mexico","fish","Lagodon rhomboides","Pinfish","0.415","0.209","4150","1680","846","null","null","NA","33.2","16.7","332","134","68","1"
"Gulf of Mexico","fish","Prionotus spp.","Sea Robin","0.012","0.015","120","50","60","null","null","NA","2.2","2.7","22","9","11","1"
"Gulf of Mexico","fish","Archosargus probatocephalus","Sheepshead","0.139","0.101","1390","563","408","2.00","0.097","391","137.2","99.0376","1372","587","424","1"
"Gulf of Mexico","fish","Bairdiella chrysoura","Silver Perch","0.501","0.481","5010","2027","1945","null","null","NA","41","39.5","410","166","160","1"
"Gulf of Mexico","fish","Gobiesox strumosus","Skilletfish","0.959","0.42","9590","3883","1698","null","null","NA","3.1","1.4","31","13","6","1"
"Gulf of Mexico","fish","Chaetodipterus faber","Spadefish","0.006","0.004","60","23","17","null","null","NA","3","2.2","30","12","9","1"
"Gulf of Mexico","fish","Leiostomus xanthurus","Spot","0.342","0.167","3420","1385","674","null","null","NA","17.9","8.7","179","72","35","1"
"Gulf of Mexico","crustacean","Menippe mercenaria","Stone Crab","1.936","0.214","19360","7834","865","3.00","0.068","276","61.4","6.8","614","27","25","1"
"Gulf of Mexico","fish","Chasmodes bosquianus","Striped Blenny","0.076","0.039","760","307","158","null","null","NA","0.2","0.1","2","1","0.4","1"
"Gulf of Mexico","fish","Opsanus beta","Toadfish ","1.325","0.527","13250","3798","2133","null","null","NA","41.9","16.6","419","62","25","1"
"Gulf of Mexico","crustacean","Litopanaeus setiferus","White Shrimp","4.64","2.726","46400","18680","11032","0.50","0.029","118","24.2","14.3","242","98","58","1"
